dis_name,dis_description,dis_symptoms,dis_precaution,kfold,encoded_dis_name
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases", itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",5.0,9
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases", itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",2.0,9
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases", itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",2.0,9
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs., itching  skin rash  stomach pain  burning micturition  spotting urination,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",4.0,14
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs., itching  stomach pain  burning micturition  spotting urination,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",1.0,14
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs., itching  skin rash  burning micturition  spotting urination,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",5.0,14
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs., itching  skin rash  stomach pain  spotting urination,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",5.0,14
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs., itching  skin rash  stomach pain  burning micturition,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",2.0,14
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,  skin rash  stomach pain  burning micturition  spotting urination,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",3.0,14
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs., itching  stomach pain  burning micturition  spotting urination,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",1.0,14
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs., itching  skin rash  burning micturition  spotting urination,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",3.0,14
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs., itching  skin rash  stomach pain  spotting urination,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",4.0,14
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs., itching  skin rash  stomach pain  burning micturition,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",2.0,14
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",  vomiting  loss of appetite  abdominal pain  passage of gases  internal itching,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",4.0,34
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",  vomiting  indigestion  abdominal pain  passage of gases  internal itching,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",2.0,34
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",1.0,34
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",  vomiting  loss of appetite  abdominal pain  passage of gases  internal itching,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",2.0,34
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",  vomiting  indigestion  abdominal pain  passage of gases  internal itching,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",3.0,34
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",  vomiting  indigestion  loss of appetite  passage of gases  internal itching,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",2.0,34
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",  vomiting  indigestion  loss of appetite  abdominal pain  internal itching,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",5.0,34
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",  vomiting  indigestion  loss of appetite  abdominal pain  passage of gases,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",1.0,34
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",  vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",2.0,34
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",  vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",1.0,34
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",  muscle wasting  patches in throat  high fever  extra marital contacts,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",1.0,2
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",  patches in throat  high fever  extra marital contacts,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",4.0,2
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",  muscle wasting  high fever  extra marital contacts,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",4.0,2
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",  muscle wasting  patches in throat  extra marital contacts,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",2.0,2
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",  muscle wasting  patches in throat  high fever,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",2.0,2
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",  muscle wasting  patches in throat  high fever  extra marital contacts,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",4.0,2
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",  muscle wasting  patches in throat  high fever  extra marital contacts,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",5.0,2
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",  patches in throat  high fever  extra marital contacts,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",5.0,2
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",  muscle wasting  high fever  extra marital contacts,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",4.0,2
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",  muscle wasting  patches in throat  high fever,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",3.0,2
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",  fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",4.0,12
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",  fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",1.0,12
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",3.0,12
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",  fatigue  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",3.0,12
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",  fatigue  weight loss  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",1.0,12
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",  fatigue  weight loss  restlessness  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",3.0,12
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",  fatigue  weight loss  restlessness  lethargy  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",1.0,12
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",  fatigue  weight loss  restlessness  lethargy  irregular sugar level  obesity  excessive hunger  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",4.0,12
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",  fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  excessive hunger  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",5.0,12
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",  fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",3.0,12
gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",  vomiting  sunken eyes  dehydration  diarrhoea,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",1.0,16
gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",  vomiting  sunken eyes  dehydration  diarrhoea,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",4.0,16
gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",  sunken eyes  dehydration  diarrhoea,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",3.0,16
gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",  vomiting  dehydration  diarrhoea,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",2.0,16
